DATASET,SEQ,APP_COLUMN,LABEL,TYPE,PRIORITY,CONTROLLED_TERMS,DESCRIPTION,VENDOR_CAN_PROVIDE,VENDOR_COLUMN_NAME,VENDOR_FORMAT,VENDOR_NOTE
EXT_SAMPLE_RECON,40,RECON_CAT,[대조] 판정 분류,text,NICE,,,,,,
EXT_SAMPLE_RECON,41,RECON_COMMENT,[대조] 코멘트,text,NICE,,,,,,
EXT_SAMPLE_RECON,42,RECON_RESOLVED,[대조] 해결 여부,Y/N,NICE,Y | N,,,,,
EXT_SAMPLE_RECON,43,RECON_UPDDTC,[대조] 판정 갱신일,date,NICE,,,,,,
EXT_IMAGE_RECON,1,STUDYID,시험 식별자,text,MUST,,,,,,
EXT_IMAGE_RECON,2,SITEID,사이트 식별자,text,MUST,,,,,,
EXT_IMAGE_RECON,3,SUBJID,피험자 번호,text,MUST,,,,,,
EXT_IMAGE_RECON,4,VISITID,방문 코드,text,MUST,,SoA의 방문 코드와 일치,,,,
EXT_IMAGE_RECON,5,VISITNUM,방문 순서,number,NICE,,,,,,
EXT_IMAGE_RECON,6,VISIT,방문 표시명,text,NICE,,,,,,
EXT_IMAGE_RECON,7,MODALITY,검사 방법,code,MUST,CT | MRI | PET | XRAY | BONESCAN | OTHER,매칭 키,,,,
EXT_IMAGE_RECON,8,ANATREG,해부학적 부위,code,SHOULD,CHEST | ABDOMEN | CHEST_ABDOMEN | BRAIN | WHOLEBODY | OTHER,초안은 매칭 키에서 제외,,,,
EXT_IMAGE_RECON,9,IMGSEQ,검사 순번,number,SHOULD,,재촬영 추적에 필요,,,,
EXT_IMAGE_RECON,10,SCANUID,Vendor 검사 식별자,text,SHOULD,,1차 매칭 식별자,,,,
EXT_IMAGE_RECON,11,EDC_IMGDONEFL,[EDC] 촬영 여부,Y/N,MUST,Y | N,대조 판정의 한 축,,,,
EXT_IMAGE_RECON,12,EDC_IMGDTC,[EDC] 촬영일,date,MUST,,업로드 기한의 기준일. 없으면 기한 계산 불가,,,,
EXT_IMAGE_RECON,13,EDC_MODALITY,[EDC] 기록 검사 방법,code,SHOULD,MODALITY와 동일,BICR_MODALITY와 대조. 방법 불일치 탐지,,,,
EXT_IMAGE_RECON,14,EDC_ANATREG,[EDC] 기록 부위,code,NICE,ANATREG와 동일,,,,,
EXT_IMAGE_RECON,15,EDC_NOTDONERS,[EDC] 미실시 사유,text,NICE,,,,,,
EXT_IMAGE_RECON,16,BICR_IMGFL,[BICR] 영상 보유 여부,Y/N,MUST,Y | N,대조 판정의 다른 한 축,,,,
EXT_IMAGE_RECON,17,BICR_IMGDTC,[BICR] 기록 촬영일,date,SHOULD,,EDC_IMGDTC와 대조,,,,
EXT_IMAGE_RECON,18,BICR_MODALITY,[BICR] 기록 검사 방법,code,SHOULD,MODALITY와 동일,EDC_MODALITY와 대조,,,,
EXT_IMAGE_RECON,19,BICR_ANATREG,[BICR] 기록 부위,code,NICE,ANATREG와 동일,,,,,
EXT_IMAGE_RECON,20,BICR_UPLDDTC,[BICR] 업로드일,date,MUST,,업로드 단계 완료 판정. 없으면 진척률 계산 불가,,,,
EXT_IMAGE_RECON,21,BICR_QCSTAT,[BICR] QC 상태,code,SHOULD,PENDING | PASSED | FAILED,,,,,
EXT_IMAGE_RECON,22,BICR_QCDTC,[BICR] QC 완료일,date,SHOULD,,,,,,
EXT_IMAGE_RECON,23,BICR_QCFAILRS,[BICR] QC 실패 사유,code,SHOULD,INCORRECT_MODALITY | INCOMPLETE_SERIES | POOR_QUALITY | WRONG_TIMEPOINT | PHI_PRESENT | MISSING_CONTRAST | OTHER,QC 실패율 KRI에 사용,,,,
EXT_IMAGE_RECON,24,BICR_ASSIGNDTC,[BICR] 판독자 배정일,date,SHOULD,,판독 기한의 기준일,,,,
EXT_IMAGE_RECON,25,BICR_READSTAT,[BICR] 판독 상태,code,MUST,NOT_ASSIGNED | ASSIGNED | READ,,,,,
EXT_IMAGE_RECON,26,BICR_READDTC,[BICR] 판독 완료일,date,SHOULD,,,,,,
EXT_IMAGE_RECON,27,BICR_READN,[BICR] 완료 판독 수,number,NICE,,double read 추적 시,,,,
EXT_IMAGE_RECON,28,BICR_ADJFL,[BICR] Adjudication 필요,Y/N,NICE,Y | N,,,,,
EXT_IMAGE_RECON,29,BICR_IMGSTAT,[BICR] 영상 상태,code,NICE,AVAILABLE | LOST | WITHDRAWN,,,,,
EXT_IMAGE_RECON,30,RECON_STATUS,[대조] 파일 작성자 판정,code,NICE,MATCHED | EDC_ONLY | VENDOR_ONLY | DISCREPANT | AMBIGUOUS | RESOLVED,참고값,,,,
EXT_IMAGE_RECON,31,RECON_CAT,[대조] 판정 분류,text,NICE,,,,,,
EXT_IMAGE_RECON,32,RECON_COMMENT,[대조] 코멘트,text,NICE,,,,,,
EXT_IMAGE_RECON,33,RECON_RESOLVED,[대조] 해결 여부,Y/N,NICE,Y | N,,,,,
EXT_IMAGE_RECON,34,RECON_UPDDTC,[대조] 판정 갱신일,date,NICE,,,,,,
